,extract_id,target,target_compound,target_compound_bolded,text,url
10,H9,kaukasisch,Kaukasisch,𝙆𝙖𝙪𝙠𝙖𝙨𝙞𝙨𝙘𝙝,"et verlangen en de opdracht is, om de lengte te bereiken van het 𝙆𝙖𝙪𝙠𝙖𝙨𝙞𝙨𝙘𝙝 ras; nu is het door een verandering in de levenswijze, dat men d",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010134416:mpeg21:a0129
11,H89,neger,neger,𝙣𝙚𝙜𝙚𝙧,"ër gedronken had, op en'sloèg het-stuk.Een glazenspoeler —-ook een 𝙣𝙚𝙜𝙚𝙧 — die een * eindje verder aan de toonbank stond, keek , even op me",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011177475:mpeg21:a0133
12,H88,achtergrond,achtergrond,𝙖𝙘𝙝𝙩𝙚𝙧𝙜𝙧𝙤𝙣𝙙,.Het bloedige verleden ia ale een weemoedige herinnering op den 𝙖𝙘𝙝𝙩𝙚𝙧𝙜𝙧𝙤𝙣𝙙 geraakt.Alleen bid ik nog dagelijks voor dien ongelukkigen vade,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010200187:mpeg21:a0014
13,H87,knecht,knecht,𝙠𝙣𝙚𝙘𝙝𝙩,".Langen, A. en bij W.Bajema een stamhouder.—Gisteren avond werd de 𝙠𝙣𝙚𝙘𝙝𝙩 van de Weerdt (John de Groot) bij het inspannen zoo danig door het",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011182835:mpeg21:a0068
14,H86,inuit,INUIT,𝙄𝙉𝙐𝙄𝙏,"< cent, I»n»rl«»«»»d 3) cent, all« -por Kllo.OROEIiTEII.𝙄𝙉𝙐𝙄𝙏 en AAROAI»I»ELI2I.EL3T (DeL), 4 September.VrnltveNlng V.",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010033681:mpeg21:a0080
15,H85,gemengd,gemengde,𝙜𝙚𝙢𝙚𝙣𝙜𝙙𝙚,et gemengde huwelijk.In Duitschland komen nu al jaarlijks 100.000 𝙜𝙚𝙢𝙚𝙣𝙜𝙙𝙚 huwelijken tot stand en er zijn er dan op het oogenblik zeker ree,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010970606:mpeg21:a0124
16,H84,aziatisch,Aziatisch,𝘼𝙯𝙞𝙖𝙩𝙞𝙨𝙘𝙝,"n de vgfüen of zestien millioen Muzelmannen, (k v-?Ur?peesch"" en 𝘼𝙯𝙞𝙖𝙩𝙞𝙨𝙘𝙝-Turkge (Arabië niet inbegrepen) leven, verminderen moet met de b",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010386914:mpeg21:a0077
17,H83,stam,stamgenoot,𝙨𝙩𝙖𝙢𝙜𝙚𝙣𝙤𝙤𝙩,".Dan slaat htj zich misschien op zijn borst en zegt: dat is mijn 𝙨𝙩𝙖𝙢𝙜𝙚𝙣𝙤𝙤𝙩, die mijn stam of Friesland bekend heeft gemaakt, waar dan ook.O",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010607896:mpeg21:a0123
18,H82,marron,Marron,𝙈𝙖𝙧𝙧𝙤𝙣,"ineesche gezin eea soort harem maken.De wettige vrouw heet .Groote 𝙈𝙖𝙧𝙧𝙤𝙣**, de anderen heeien .Kleiae Mevrcawtjei*.M<at geea.drift is hei i",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010333774:mpeg21:a0060
19,H81,historisch,historisch,𝙝𝙞𝙨𝙩𝙤𝙧𝙞𝙨𝙘𝙝,"van nog grooter beteekenis is geworden.Spr, geeft vervolgens een 𝙝𝙞𝙨𝙩𝙤𝙧𝙞𝙨𝙘𝙝 overzicht van de vele kolonisatie-pogingen.Het vraagstuk van de ",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010229904:mpeg21:a0100
20,H80,inheems,inheemse,𝙞𝙣𝙝𝙚𝙚𝙢𝙨𝙚," XI Zijn pontificaat begon, was er niet één missiegebied, waar de 𝙞𝙣𝙝𝙚𝙚𝙢𝙨𝙚 clerus de leiding in handen had.In Rome stichtte Hij het Pauselij",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010281873:mpeg21:a0016
21,H8,slaaf,slaaf,𝙨𝙡𝙖𝙖𝙛,"en Christin 1 — Mirte, de dochter van Lud_, mijn gevangene en mijn 𝙨𝙡𝙖𝙖𝙛. — Jsj Gesar! — Mirte, uw moed ve-ddent een belooning en ik ben ke",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010196909:mpeg21:a0132
22,H79,marron,Marrons,𝙈𝙖𝙧𝙧𝙤𝙣𝙨,"arron «n weglooptr \ ern en 't zelfde beteekent.Ook werden tot de 𝙈𝙖𝙧𝙧𝙤𝙣𝙨 "". nog die slaven gerekend welke b. v. tgdens ;de brandschatting;",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011214416:mpeg21:a0003
23,H78,achtergrond,achtergrond,𝙖𝙘𝙝𝙩𝙚𝙧𝙜𝙧𝙤𝙣𝙙,oken of ik hoorde naast mij een zacht geruisch; op den donkeren 𝙖𝙘𝙝𝙩𝙚𝙧𝙜𝙧𝙤𝙣𝙙 der gevangenis zae ik vonken springen : Pampin sloeg vuur.Tegel,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010213532:mpeg21:a0003
24,H77,neger,neger,𝙣𝙚𝙜𝙚𝙧,"weging, onder welke Sanguili, Macas ji en Uonnez en de reusachtige 𝙣𝙚𝙜𝙚𝙧 i| (.«uillermon vooral worden genoemd, j> ditmaal gelukken, liet S",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011212045:mpeg21:a0004
25,H76,aziatisch,AziatischeJgeit,𝘼𝙯𝙞𝙖𝙩𝙞𝙨𝙘𝙝𝙚𝙅𝙜𝙚𝙞𝙩,"wijte Charleston ""zagen ?van de zoogéuaamde Kachi> mir|eriyde^𝘼𝙯𝙞𝙖𝙩𝙞𝙨𝙘𝙝𝙚𝙅𝙜𝙚𝙞𝙩|wasl beslist fmin? , % De j halfbloeds zooals: wjj breeds zei",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011215908:mpeg21:a0003
26,H75,neger,negers,𝙣𝙚𝙜𝙚𝙧𝙨,ken.Deze zijn zeer christelijk en goede katholieken en zullen deze 𝙣𝙚𝙜𝙚𝙧𝙨 zeker in ons heilige en ware geloof onderrichten en dopen en hen't,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010281601:mpeg21:a0039
27,H74,neger,negerin,𝙣𝙚𝙜𝙚𝙧𝙞𝙣,"en door respectievelijk e?n negerin en een neger, terwij!boven de 𝙣𝙚𝙜𝙚𝙧𝙞𝙣 een Surinaamsche Indiaan met een speer in de hand, is afgebeeld.D",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110638006:mpeg21:a0139
28,H73,dwerggroei,Dwerggroei,𝘿𝙬𝙚𝙧𝙜𝙜𝙧𝙤𝙚𝙞,en 1208 866 840 Te kort been 1199 691 508 Klompvoet 967 058 E 99 𝘿𝙬𝙚𝙧𝙜𝙜𝙧𝙤𝙚𝙞 963 451 501 Platvoeten 118 X-beenen 16Vooral uit de belde laatst,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010346054:mpeg21:a0160
29,H72,inheems,Inheemschen,𝙄𝙣𝙝𝙚𝙚𝙢𝙨𝙘𝙝𝙚𝙣,"rtuiging, dat we een taak hebben t.o.v. de Hollandsch-sprekende 𝙄𝙣𝙝𝙚𝙚𝙢𝙨𝙘𝙝𝙚𝙣.Lezingen zouden georganiseerd kunnen worden voor Inheemschen in",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010382268:mpeg21:a0127
30,H71,jakarta,Jakarta,𝙅𝙖𝙠𝙖𝙧𝙩𝙖,"atsspoorwegen op Ja*va Sumatra?Door mijn ambt had ik zoowel Dj ok 𝙅𝙖𝙠𝙖𝙧𝙩𝙖 als te Padang, vooral ech^.j,. laatstgenoemde plaats, veel relati",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010129707:mpeg21:a0117
31,H70,gemengd,gemengd,𝙜𝙚𝙢𝙚𝙣𝙜𝙙,"g bestaat in sommige streken uit mais sadja, dikwerf ook uit mais 𝙜𝙚𝙢𝙚𝙣𝙜𝙙 met rijst, waarbij men voor mais dezelfde bereidingswijzen volgt ",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011109309:mpeg21:a0182
32,H7,zigeuner,zigeuner,𝙯𝙞𝙜𝙚𝙪𝙣𝙚𝙧,"geet geene enkele bizonderheid, en zeg mij alles, wat gij weet.De 𝙯𝙞𝙜𝙚𝙪𝙣𝙚𝙧 verhaalde nu, wat in het woud was voorgevallen; het geroep van An",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010154511:mpeg21:a0035
33,H69,historisch,historisch,𝙝𝙞𝙨𝙩𝙤𝙧𝙞𝙨𝙘𝙝,"mijn arm volkl.. - Ds.Gildemeester herinnerde, zich op-nationaal 𝙝𝙞𝙨𝙩𝙤𝙧𝙞𝙨𝙘𝙝 terrein begevende, aan twee gewichtige data: 14 Naiv. 1654 den d",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110621245:mpeg21:a0160
34,H68,lilliputter,Lilliputter,𝙇𝙞𝙡𝙡𝙞𝙥𝙪𝙩𝙩𝙚𝙧,"en dat het helmpje thans veilig is op het : hoofd van den agent 𝙇𝙞𝙡𝙡𝙞𝙥𝙪𝙩𝙩𝙚𝙧,' die • > | thans dan ook, parmantiger dan ooit, | zijn plicht ",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110621120:mpeg21:a0180
35,H67,dwerg,dwerg,𝙙𝙬𝙚𝙧𝙜,id een leeren jas en een breeden lach.De hekken stonden open en de 𝙙𝙬𝙚𝙧𝙜 stond als een misvormd silhouet tegen de deuropening van zijn huis,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010238520:mpeg21:a0007
36,H66,mesties,mesties,𝙢𝙚𝙨𝙩𝙞𝙚𝙨,"'in hun land zien af spelen.Een-kwart eeuw lang waren rd door don 𝙢𝙚𝙨𝙩𝙞𝙚𝙨 Rafael Carreras, die noch lezen noch schrijven kon. een man, die ",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010493623:mpeg21:a0112
37,H65,dwerggroei,dwerggroei,𝙙𝙬𝙚𝙧𝙜𝙜𝙧𝙤𝙚𝙞,kon resp. een ontbreken de oorzaak is van stilsttzzzA v«i groei: 𝙙𝙬𝙚𝙧𝙜𝙜𝙧𝙤𝙚𝙞.Niet bij alle menschelijke dwergen is de afwijking het gevolg va,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010659602:mpeg21:a0223
38,H64,indisch,Indische,𝙄𝙣𝙙𝙞𝙨𝙘𝙝𝙚,d Amsterdam no. 1 kalm.Geraffineerde vast 22 sk Tte Chineesche en 𝙄𝙣𝙙𝙞𝙨𝙘𝙝𝙚 gedrukt Rijst en Jute prijsh.Koffie kalm 117M10% p st Ko?er conta,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010894207:mpeg21:a0050
39,H63,moslim,Moslim,𝙈𝙤𝙨𝙡𝙞𝙢,"van den bommenaanslag in Katsjana betreft, de krijgsraad heeft een 𝙈𝙤𝙨𝙡𝙞𝙢 ter dood én een anderen tot levenslangen dwangarbeid veroordeeld^ ",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010109087:mpeg21:a0054
40,H62,moslim,Moslim,𝙈𝙤𝙨𝙡𝙞𝙢,"e houden nl. in, dat bij een eventueele fusie der twee partijen de 𝙈𝙤𝙨𝙡𝙞𝙢 Liga als zijnde „de eenige officieele Mo» hammedaansche partij"", a",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010018908:mpeg21:a0110
41,H61,indo-europeaan,Indo-Europeaan,𝙄𝙣𝙙𝙤-𝙀𝙪𝙧𝙤𝙥𝙚𝙖𝙖𝙣,"j zich ten volle bewust was van de rassenvooroordelen, die den 𝙄𝙣𝙙𝙤-𝙀𝙪𝙧𝙤𝙥𝙚𝙖𝙖𝙣 ten aanzien van den voll Indiër kenmerken, hield hij aan zijn ",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010465199:mpeg21:a0003
42,H60,primitief,primitief,𝙥𝙧𝙞𝙢𝙞𝙩𝙞𝙚𝙛," en boeren vertrouwen in de absolute leuzen.Het volkskarakter is 𝙥𝙧𝙞𝙢𝙞𝙩𝙞𝙚𝙛; het volk is pas»ief, vertoont gebrek aan wilskracht en doorzett",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010036914:mpeg21:a0113
43,H6,moslim,Moslims,𝙈𝙤𝙨𝙡𝙞𝙢𝙨,"verkiezing te vermijden.Wil' diti zeggen, dat bij hen de zaak der 𝙈𝙤𝙨𝙡𝙞𝙢𝙨 zwak staats Geenszins.Zij zulle» nooit zoo ver wülen gaaa aks Rea",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010025965:mpeg21:a0106
44,H59,indo-europeaan,Indo-Europeaan,𝙄𝙣𝙙𝙤-𝙀𝙪𝙧𝙤𝙥𝙚𝙖𝙖𝙣,"verhaal luidt dat de verslagene, in gezelschap van een anderen 𝙄𝙣𝙙𝙤-𝙀𝙪𝙧𝙤𝙥𝙚𝙖𝙖𝙣 en een inlandschtf vrouw, ruzie kreeg met een paar Chineezen d",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011136195:mpeg21:a0026
45,H58,indisch,Indisch,𝙄𝙣𝙙𝙞𝙨𝙘𝙝,sten de meeste adspirant-ambtenaren hunnen ouders vrij veel — een 𝙄𝙣𝙙𝙞𝙨𝙘𝙝 oudgast zeide ons: ten minste ƒ 2000 per jaar.Schijnbaar slechts ,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010165941:mpeg21:a0003
46,H57,blank,blank,𝙗𝙡𝙖𝙣𝙠,"Dominikaner orde zijn mij niet opgevallen.De drie altaren zijn van 𝙗𝙡𝙖𝙣𝙠 marmer, een gift der parochianen ter dankbare herinnering aan den ",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010280743:mpeg21:a0004
47,H56,kaffer,Kaffer,𝙆𝙖𝙛𝙛𝙚𝙧,"eker _ extravermelding voor de wijze, waarop hij de figuur van den 𝙆𝙖𝙛𝙛𝙚𝙧-gentleman Maikaffo uitbeeldde.Van de dames wiQen we nog speciaal n",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010669348:mpeg21:a0129
48,H55,baboe,baboe,𝙗𝙖𝙗𝙤𝙚,"ts, een dartele page, Prins, ecu stemmige Turk, Van der Graaf, een 𝙗𝙖𝙗𝙤𝙚, Dahler, een Japanner, Brockx, een jolige clown, voorwaarts; Droog",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011088429:mpeg21:a0101
49,H54,inheems,Inheemschen,𝙄𝙣𝙝𝙚𝙚𝙢𝙨𝙘𝙝𝙚𝙣,"Tusschen de twee uitersten : öf allemaal Europeanen óf allemaal 𝙄𝙣𝙝𝙚𝙚𝙢𝙨𝙘𝙝𝙚𝙣 bij de vloot in de Indische wateren, ligt ook nog een middenweg",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010279146:mpeg21:a0003
50,H53,indo,Indo,𝙄𝙣𝙙𝙤,"elukkiger' gekozen jgfJan: de.-Heer Labberton, die zich óp Lenige ' 𝙄𝙣𝙙𝙤-heilisclic talen heeft toè'gé» ?legd, waarover .ik echter niet bevo",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010011275:mpeg21:a0215
51,H52,eskimo,eskimo's,𝙚𝙨𝙠𝙞𝙢𝙤𝘜𝙨,"hippers é. d.Deelnemers aan een poolexpeditie berichtten, dat zjj 𝙚𝙨𝙠𝙞𝙢𝙤𝘜𝙨 gezien hadden in juraps zonder eenig model!In de 18e eeuw begonne",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011217446:mpeg21:a0037
52,H51,berber,Berber,𝘽𝙚𝙧𝙗𝙚𝙧, ven de Nij^ met Chartoem en El-Obeid.Bovendien maakt een lijn van 𝘽𝙚𝙧𝙗𝙚𝙧 (aan de Nijl) naar Soeakin (aan de Roode Zee) het vervoer uit het ,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010600209:mpeg21:a0001
53,H50,trans,transport,𝙩𝙧𝙖𝙣𝙨𝙥𝙤𝙧𝙩,"n tijd vrijwillig hebben gebouwd.Op 18 November volgt een verder 𝙩𝙧𝙖𝙣𝙨𝙥𝙤𝙧𝙩.Dit zal van Hamburg vertrekken, waar reeds 850,000 kg. levensmid",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010025724:mpeg21:a0094
54,H5,afkomst,afkomst,𝙖𝙛𝙠𝙤𝙢𝙨𝙩," leger maakte, waren stellig niet alleen te danken aan zijn hooge 𝙖𝙛𝙠𝙤𝙢𝙨𝙩.In de dagen van den Franseh—Duitschen oorlog leefden de kinderen ",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010326083:mpeg21:a0005
55,H49,handicap,handicap,𝙝𝙖𝙣𝙙𝙞𝙘𝙖𝙥,"verscheen met Gompers in de Plaats van Reynders, wat een geduchte 𝙝𝙖𝙣𝙙𝙞𝙘𝙖𝙥 op- de rugbaan was.Wyss haalde van de 15 Meter achterstand met sc",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010368169:mpeg21:a0148
56,H48,zigeuner,zigeuner,𝙯𝙞𝙜𝙚𝙪𝙣𝙚𝙧,zij een week later weer met het pakje In de zaal kwam was er gten 𝙯𝙞𝙜𝙚𝙪𝙣𝙚𝙧 te vinden en bij bet openen van het pakje vond zij dat de waarde ,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011179625:mpeg21:a0033
57,H47,achtergrond,achtergrond,𝙖𝙘𝙝𝙩𝙚𝙧𝙜𝙧𝙤𝙣𝙙,"eer hjj verblijf op het Valkhof hield, de Mis te hooren.„Op den 𝙖𝙘𝙝𝙩𝙚𝙧𝙜𝙧𝙤𝙣𝙙 van het koor, op een verhoogd plankier, is de kroningszetel gep",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010385157:mpeg21:a0094
58,H46,pygmee,Pygmee,𝙋𝙮𝙜𝙢𝙚𝙚,"moed is moed om hoog te staan.""Ik, van Houtsz, heb in het land van 𝙋𝙮𝙜𝙢𝙚𝙚 den durf getoond, niet nederig te zijn.Wat moet die man geworsteld",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010598819:mpeg21:a0081
59,H45,marron,Marron,𝙈𝙖𝙧𝙧𝙤𝙣,"Woodward Manning, Mej.S.𝙈𝙖𝙧𝙧𝙤𝙣, M.Marron, F.Martens.'",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010091562:mpeg21:a0138
60,H44,marron,Marron,𝙈𝙖𝙧𝙧𝙤𝙣,"Santo- n.Man 11*: R.𝙈𝙖𝙧𝙧𝙤𝙣, 0 Ir en.Msnilla'n.8..»t0n; 20 Jnl.",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110539312:mpeg21:a0044
61,H43,mesties,mesties,𝙢𝙚𝙨𝙩𝙞𝙚𝙨,"inkrijk.Daar had zy twee dergelijke avonturen tegelijkertijd.Eene 𝙢𝙚𝙨𝙩𝙞𝙚𝙨, dochter van een Spanjaard en eene indische, die haar had gerecip",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010496992:mpeg21:a0048
62,H42,ontdekken,ontdekken,𝙤𝙣𝙩𝙙𝙚𝙠𝙠𝙚𝙣,"n.Tóén .Brycef i den wolgenden morgen iets opvallends meende' te 𝙤𝙣𝙩𝙙𝙚𝙠𝙠𝙚𝙣 in de manier van doen van zijn collega, schonk hij daar evenwel ",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011217950:mpeg21:a0062
63,H41,jakarta,Jokjakarta,𝙅𝙤𝙠𝙟𝙖𝙠𝙖𝙧𝙩𝙖,"waarin de bezoeker van en ieder belangstellende in de residentie 𝙅𝙤𝙠𝙟𝙖𝙠𝙖𝙧𝙩𝙖, alles beschreven vindt wat merkwaardig en bezienswaard is.Ken v",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010132726:mpeg21:a0017
64,H40,aziatisch,Aziatisch,𝘼𝙯𝙞𝙖𝙩𝙞𝙨𝙘𝙝,en men zich van een tu^achenstation kan bedienen.Nu v;ndt men in 𝘼𝙯𝙞𝙖𝙩𝙞𝙨𝙘𝙝 Rusland ta; van punten die vrjjwel halverwege Ind:ë liggen.Eau d,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010366645:mpeg21:a0078
65,H4,aziatisch,Aziatisch,𝘼𝙯𝙞𝙖𝙩𝙞𝙨𝙘𝙝,"wat klimaat, grootte en ligging betreft, groote gelijkenis mede :𝘼𝙯𝙞𝙖𝙩𝙞𝙨𝙘𝙝 Rusland.Zelfs het Europeesch Rusland heeft meer de Amerikaansche",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010366671:mpeg21:a0050
66,H39,roma,Roma,𝙍𝙤𝙢𝙖,"\\,u., dan Oldea, RarmOnte i, Knlilbceher, i'oui Etce, Winschsrmana.𝙍𝙤𝙢𝙖, Paulus, Pn.T.Verscbure, Eben-Ezer, Henke, >.', da Jonge, Cornelia,",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010163934:mpeg21:a0117
67,H38,traditioneel,traditioneel,𝙩𝙧𝙖𝙙𝙞𝙩𝙞𝙤𝙣𝙚𝙚𝙡,teengezet in mijn onlangs in Landdag gehouden rede.Ik wensen de 𝙩𝙧𝙖𝙙𝙞𝙩𝙞𝙤𝙣𝙚𝙚𝙡 goede betrekkingen met Engeland te handhaven.Ik ben ervan overt,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011074773:mpeg21:a0010
68,H37,traditionele,traditionele,𝙩𝙧𝙖𝙙𝙞𝙩𝙞𝙤𝙣𝙚𝙡𝙚," de besprekingen in Salzburg en Berchtesgaden is men bezig, het 𝙩𝙧𝙖𝙙𝙞𝙩𝙞𝙤𝙣𝙚𝙡𝙚 „kruitvat van Europa"" van zijn lading springstof te ontdoen.De ",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010940052:mpeg21:a0041
69,H36,jakarta,Jakarta,𝙅𝙖𝙠𝙖𝙧𝙩𝙖,"jkheden bij het huwelijk van drie dochters van den Sultan van Jog 𝙅𝙖𝙠𝙖𝙧𝙩𝙖 — feestelijkheden, bestaande in bedojo-dahsen (fii^urdansen door ",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010029495:mpeg21:a0216
70,H35,marron,Marron,𝙈𝙖𝙧𝙧𝙤𝙣,"Bek.»».Bo.li.mi: Twee f-eb»»e«k-,s.𝙈𝙖𝙧𝙧𝙤𝙣., id.; Aurnrn, Klem.Nnrddeich: 15 I'ankl.ambeid, Vrlliaga, Hamburg",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110555385:mpeg21:a0095
