anonymised_participant_id,extract_id,response,suggestion
unknown_2e,H76,Niet omstreden,
unknown_2f,H76,Onleesbare OCR,
unknown_2g,H76,Niet omstreden,
unknown_2a,H75,Omstreden naar huidige maatstaven,
unknown_2b,H75,Omstreden naar huidige maatstaven,
unknown_2c,H75,Omstreden naar huidige maatstaven,
unknown_2d,H75,Omstreden naar huidige maatstaven,negerslaven
unknown_2e,H75,Omstreden naar huidige maatstaven,sïavenschepen 
unknown_2f,H75,Omstreden naar huidige maatstaven,
unknown_2g,H75,Omstreden naar huidige maatstaven,negerslaven
unknown_2a,H74,Omstreden naar huidige maatstaven,
unknown_2b,H74,Omstreden naar huidige maatstaven,neger
unknown_2c,H74,Omstreden naar huidige maatstaven,
unknown_2d,H74,Omstreden naar huidige maatstaven,"neger, Indiaan"
unknown_2e,H74,Omstreden naar huidige maatstaven,neger
unknown_2f,H74,Omstreden naar huidige maatstaven,
unknown_2g,H74,Omstreden naar huidige maatstaven,Surinaamsche Indiaan
unknown_2a,H73,Niet omstreden,
unknown_2b,H73,Niet omstreden,
unknown_2c,H73,Niet omstreden,
unknown_2d,H73,Niet omstreden,misvormden
unknown_2e,H73,Niet omstreden,
unknown_2f,H73,Omstreden naar huidige maatstaven,
unknown_2g,H73,Omstreden naar huidige maatstaven,
unknown_2a,H72,Omstreden naar huidige maatstaven,
unknown_2b,H72,Niet omstreden,
unknown_2c,H72,Omstreden naar huidige maatstaven,
unknown_2d,H72,Omstreden naar huidige maatstaven,
unknown_2e,H72,Omstreden naar huidige maatstaven,
unknown_2f,H72,Omstreden naar huidige maatstaven,
unknown_2g,H72,Omstreden naar huidige maatstaven,
unknown_2a,H71,Niet omstreden,
unknown_2b,H71,Niet omstreden,
unknown_2c,H71,Niet omstreden,
unknown_2d,H71,Niet omstreden,
unknown_2e,H71,Niet omstreden,
unknown_2f,H71,Niet omstreden,
unknown_2g,H71,Niet omstreden,
unknown_2a,H70,Niet omstreden,
unknown_2b,H70,Niet omstreden,
unknown_2c,H70,Niet omstreden,
unknown_2d,H70,Niet omstreden,
unknown_2e,H70,Niet omstreden,
unknown_2f,H70,Niet omstreden,
unknown_2g,H70,Niet omstreden,
unknown_1a,H7,Omstreden naar huidige maatstaven,
unknown_1b,H7,Omstreden naar huidige maatstaven,
unknown_1d,H7,Omstreden naar huidige maatstaven,
unknown_1e,H7,Omstreden naar huidige maatstaven,
unknown_1f,H7,Weet ik niet,
unknown_1g,H7,Omstreden naar huidige maatstaven,
unknown_2a,H69,Niet omstreden,
unknown_2b,H69,Niet omstreden,
unknown_2c,H69,Niet omstreden,
unknown_2d,H69,Niet omstreden,
unknown_2e,H69,Niet omstreden,
unknown_2f,H69,Niet omstreden,
unknown_2g,H69,Niet omstreden,
unknown_2a,H68,Omstreden naar huidige maatstaven,
unknown_2b,H68,Niet omstreden,
unknown_2c,H68,Omstreden naar huidige maatstaven,
unknown_2d,H68,Omstreden naar huidige maatstaven,
unknown_2e,H68,Weet ik niet,
unknown_2f,H68,Weet ik niet,
unknown_2g,H68,Weet ik niet,
unknown_2a,H67,Niet omstreden,
unknown_2b,H67,Omstreden naar huidige maatstaven,
unknown_2c,H67,Omstreden naar huidige maatstaven,
unknown_2d,H67,Omstreden naar huidige maatstaven,
unknown_2e,H67,Weet ik niet,
unknown_2f,H67,Omstreden naar huidige maatstaven,
unknown_2g,H67,Niet omstreden,
unknown_2a,H66,Weet ik niet,
unknown_2b,H66,Niet omstreden,
unknown_2c,H66,Omstreden naar huidige maatstaven,
unknown_2d,H66,Weet ik niet,
unknown_2e,H66,Omstreden naar huidige maatstaven,
unknown_2f,H66,Weet ik niet,
unknown_2g,H66,Omstreden naar huidige maatstaven,
unknown_2a,H65,Niet omstreden,
unknown_2b,H65,Niet omstreden,dwergen?
unknown_2c,H65,Niet omstreden, menschelijke dwergen
unknown_2d,H65,Niet omstreden,dwergen 
unknown_2e,H65,Niet omstreden,
unknown_2f,H65,Omstreden naar huidige maatstaven,dwergen
unknown_2g,H65,Niet omstreden,
unknown_2a,H64,Niet omstreden,
unknown_2b,H64,Niet omstreden,
unknown_2c,H64,Weet ik niet,
unknown_2d,H64,Weet ik niet,
unknown_2e,H64,Niet omstreden,
unknown_2f,H64,Niet omstreden,
unknown_2g,H64,Niet omstreden,
unknown_2a,H63,Niet omstreden,
unknown_2b,H63,Niet omstreden,
unknown_2c,H63,Omstreden naar huidige maatstaven,
unknown_2d,H63,Niet omstreden,
unknown_2e,H63,Niet omstreden,
unknown_2f,H63,Niet omstreden,
unknown_2g,H63,Niet omstreden,
unknown_2a,H62,Niet omstreden,
unknown_2b,H62,Niet omstreden,
unknown_2c,H62,Niet omstreden,
unknown_2d,H62,Niet omstreden,"MOhammedanen, Mohammedaansche"
unknown_2e,H62,Niet omstreden,Mohammedanen
unknown_2f,H62,Niet omstreden,
unknown_2g,H62,Omstreden naar huidige maatstaven,
unknown_2a,H61,Niet omstreden,
unknown_2b,H61,Onleesbare OCR,
unknown_2c,H61,Weet ik niet,"gij moet u geen superiorl.eit inbeelden, omdat er ook Europeesct. bioed in uw aderen stroomt."
unknown_2d,H61,Omstreden naar huidige maatstaven,Aziaten
unknown_2e,H61,Niet omstreden,
unknown_2f,H61,Weet ik niet,inlander
unknown_2g,H61,Omstreden naar huidige maatstaven,
unknown_2a,H60,Weet ik niet,
unknown_2b,H60,Omstreden naar huidige maatstaven,
unknown_2c,H60,Omstreden naar huidige maatstaven,
unknown_2d,H60,Omstreden naar huidige maatstaven,dweepers
unknown_2e,H60,Omstreden naar huidige maatstaven,
unknown_2f,H60,Omstreden naar huidige maatstaven,
unknown_2g,H60,Omstreden naar huidige maatstaven,
unknown_1a,H6,Niet omstreden,Mohammedanen
unknown_1b,H6,Niet omstreden,
unknown_1d,H6,Niet omstreden,
unknown_1e,H6,Niet omstreden,Mohammedanen
unknown_1f,H6,Niet omstreden,
unknown_1g,H6,Niet omstreden,
unknown_2a,H59,Niet omstreden,
unknown_2b,H59,Niet omstreden,
unknown_2c,H59,Weet ik niet,
unknown_2d,H59,Weet ik niet,inlandsche vrouw
unknown_2e,H59,Niet omstreden,
unknown_2f,H59,Weet ik niet,inlandsche
unknown_2g,H59,Weet ik niet,
unknown_2a,H58,Niet omstreden,
unknown_2b,H58,Niet omstreden,
unknown_2c,H58,Weet ik niet,
unknown_2d,H58,Omstreden naar huidige maatstaven,
unknown_2e,H58,Niet omstreden,
unknown_2f,H58,Niet omstreden,
unknown_2g,H58,Niet omstreden,
unknown_2a,H57,Niet omstreden,
unknown_2b,H57,Niet omstreden,
unknown_2c,H57,Niet omstreden,
unknown_2d,H57,Omstreden naar huidige maatstaven,
unknown_2e,H57,Omstreden naar huidige maatstaven,
unknown_2f,H57,Niet omstreden,
unknown_2g,H57,Niet omstreden,
unknown_2a,H56,Omstreden naar huidige maatstaven,
unknown_2b,H56,Omstreden naar huidige maatstaven,
unknown_2c,H56,Omstreden naar huidige maatstaven,
unknown_2d,H56,Omstreden naar huidige maatstaven,
unknown_2e,H56,Omstreden naar huidige maatstaven,
unknown_2f,H56,Omstreden naar huidige maatstaven,
unknown_2g,H56,Omstreden naar huidige maatstaven,
unknown_2a,H55,Omstreden naar huidige maatstaven,
unknown_2b,H55,Weet ik niet,
unknown_2c,H55,Weet ik niet,"ante Pos, dio leel to vief was om do indische post te kunnen voorstellen,"
unknown_2d,H55,Omstreden naar huidige maatstaven,
unknown_2e,H55,Omstreden naar huidige maatstaven,
unknown_2f,H55,Omstreden naar huidige maatstaven,
unknown_2g,H55,Omstreden naar huidige maatstaven,
unknown_2a,H54,Omstreden naar huidige maatstaven,
unknown_2b,H54,Niet omstreden,
unknown_2c,H54,Omstreden naar huidige maatstaven,
unknown_2d,H54,Omstreden naar huidige maatstaven,
unknown_2e,H54,Omstreden naar huidige maatstaven,
unknown_2f,H54,Omstreden naar huidige maatstaven,
unknown_2g,H54,Weet ik niet,
unknown_2a,H53,Niet omstreden,
unknown_2b,H53,Niet omstreden,
unknown_2c,H53,Onleesbare OCR,
unknown_2d,H53,Onleesbare OCR,
unknown_2e,H53,Onleesbare OCR,
unknown_2f,H53,Onleesbare OCR,
unknown_2g,H53,Niet omstreden,
unknown_2a,H52,Omstreden naar huidige maatstaven,
unknown_2b,H52,Omstreden naar huidige maatstaven,
unknown_2c,H52,Omstreden naar huidige maatstaven,
unknown_2d,H52,Omstreden naar huidige maatstaven,
unknown_2e,H52,Omstreden naar huidige maatstaven,
unknown_2f,H52,Omstreden naar huidige maatstaven,
unknown_2g,H52,Omstreden naar huidige maatstaven,
unknown_2a,H51,Niet omstreden,
unknown_2b,H51,Niet omstreden,
unknown_2c,H51,Weet ik niet,
unknown_2d,H51,Niet omstreden,
unknown_2e,H51,Niet omstreden,
unknown_2f,H51,Niet omstreden,
unknown_2g,H51,Niet omstreden,
unknown_2a,H50,Niet omstreden,
unknown_2b,H50,Niet omstreden,
unknown_2c,H50,Weet ik niet,
unknown_2d,H50,Niet omstreden,
unknown_2e,H50,Niet omstreden,
unknown_2f,H50,Niet omstreden,
unknown_2g,H50,Niet omstreden,
unknown_1a,H5,Omstreden naar huidige maatstaven,
unknown_1b,H5,Niet omstreden,
unknown_1d,H5,Niet omstreden,
unknown_1e,H5,Niet omstreden,
unknown_1f,H5,Niet omstreden,
unknown_1g,H5,Niet omstreden,
unknown_1a,H49,Niet omstreden,
unknown_1b,H49,Niet omstreden,
unknown_1d,H49,Niet omstreden,
unknown_1e,H49,Niet omstreden,
unknown_1f,H49,Niet omstreden,
unknown_1g,H49,Niet omstreden,
unknown_1a,H48,Omstreden naar huidige maatstaven,zigeuners
unknown_1b,H48,Omstreden naar huidige maatstaven,
unknown_1d,H48,Omstreden naar huidige maatstaven,
unknown_1e,H48,Omstreden naar huidige maatstaven,
unknown_1f,H48,Niet omstreden,
unknown_1g,H48,Omstreden naar huidige maatstaven,
unknown_1a,H47,Niet omstreden,
unknown_1b,H47,Niet omstreden,
unknown_1d,H47,Niet omstreden,
unknown_1e,H47,Niet omstreden,
unknown_1f,H47,Niet omstreden,
unknown_1g,H47,Niet omstreden,
unknown_1a,H46,Omstreden naar huidige maatstaven,
unknown_1b,H46,Niet omstreden,
unknown_1d,H46,Omstreden naar huidige maatstaven,
unknown_1e,H46,Weet ik niet,
unknown_1f,H46,Niet omstreden,
unknown_1g,H46,Omstreden naar huidige maatstaven,
unknown_1a,H45,Weet ik niet,
unknown_1b,H45,Niet omstreden,
unknown_1d,H45,Omstreden naar huidige maatstaven,
unknown_1e,H45,Niet omstreden,
unknown_1f,H45,Niet omstreden,
unknown_1g,H45,Onleesbare OCR,
unknown_1a,H44,Weet ik niet,
unknown_1b,H44,Niet omstreden,
unknown_1d,H44,Omstreden naar huidige maatstaven,
unknown_1e,H44,Niet omstreden,
unknown_1f,H44,Niet omstreden,
unknown_1g,H44,Onleesbare OCR,
unknown_1a,H43,Omstreden naar huidige maatstaven,
unknown_1b,H43,Niet omstreden,
unknown_1d,H43,Omstreden naar huidige maatstaven,
unknown_1e,H43,Niet omstreden,
unknown_1f,H43,Niet omstreden,
unknown_1g,H43,Omstreden naar huidige maatstaven,
unknown_1a,H42,Niet omstreden,
unknown_1b,H42,Niet omstreden,
unknown_1d,H42,Niet omstreden,
unknown_1e,H42,Niet omstreden,
unknown_1f,H42,Niet omstreden,
unknown_1g,H42,Niet omstreden,
unknown_1a,H41,Omstreden naar huidige maatstaven,
unknown_1b,H41,Niet omstreden,
unknown_1d,H41,Omstreden naar huidige maatstaven,
unknown_1e,H41,Niet omstreden,
unknown_1f,H41,Niet omstreden,
unknown_1g,H41,Niet omstreden,
unknown_1a,H40,Niet omstreden,
unknown_1b,H40,Niet omstreden,
unknown_1d,H40,Niet omstreden,
unknown_1e,H40,Onleesbare OCR,
unknown_1f,H40,Niet omstreden,
unknown_1g,H40,Niet omstreden,
unknown_1a,H4,Niet omstreden,
unknown_1b,H4,Niet omstreden,
unknown_1d,H4,Niet omstreden,
unknown_1e,H4,Niet omstreden,
unknown_1f,H4,Niet omstreden,
unknown_1g,H4,Niet omstreden,
unknown_1a,H39,Weet ik niet,
unknown_1b,H39,Niet omstreden,
unknown_1d,H39,Niet omstreden,
unknown_1e,H39,Niet omstreden,
unknown_1f,H39,Niet omstreden,
unknown_1g,H39,Onleesbare OCR,
unknown_1a,H38,Niet omstreden,Verre Oosten
unknown_1b,H38,Niet omstreden,
unknown_1d,H38,Niet omstreden,
unknown_1e,H38,Niet omstreden,
unknown_1f,H38,Niet omstreden,
unknown_1g,H38,Niet omstreden,
unknown_1a,H37,Niet omstreden,
unknown_1b,H37,Niet omstreden,
unknown_1d,H37,Niet omstreden,
unknown_1e,H37,Niet omstreden,
unknown_1f,H37,Niet omstreden,
unknown_1g,H37,Niet omstreden,
unknown_1a,H36,Weet ik niet,
unknown_1b,H36,Niet omstreden,
unknown_1d,H36,Niet omstreden,
unknown_1e,H36,Niet omstreden,
unknown_1f,H36,Niet omstreden,
unknown_1g,H36,Niet omstreden,
unknown_1a,H35,Weet ik niet,
unknown_1b,H35,Niet omstreden,
unknown_1d,H35,Omstreden naar huidige maatstaven,
unknown_1e,H35,Onleesbare OCR,
unknown_1f,H35,Niet omstreden,
unknown_1g,H35,Onleesbare OCR,
unknown_1a,H34,Niet omstreden,
unknown_1b,H34,Niet omstreden,
unknown_1d,H34,Niet omstreden,
unknown_1e,H34,Niet omstreden,
unknown_1f,H34,Niet omstreden,
unknown_1g,H34,Niet omstreden,
unknown_1a,H33,Omstreden naar huidige maatstaven,
unknown_1b,H33,Omstreden naar huidige maatstaven,
unknown_1d,H33,Omstreden naar huidige maatstaven,
unknown_1e,H33,Omstreden naar huidige maatstaven,
unknown_1f,H33,Omstreden naar huidige maatstaven,
unknown_1g,H33,Omstreden naar huidige maatstaven,
unknown_1a,H32,Omstreden naar huidige maatstaven,
unknown_1b,H32,Omstreden naar huidige maatstaven,
unknown_1d,H32,Omstreden naar huidige maatstaven,
unknown_1e,H32,Omstreden naar huidige maatstaven,
unknown_1f,H32,Niet omstreden,
unknown_1g,H32,Omstreden naar huidige maatstaven,
unknown_1a,H31,Niet omstreden,
unknown_1b,H31,Niet omstreden,
unknown_1d,H31,Niet omstreden,
unknown_1e,H31,Niet omstreden,
unknown_1f,H31,Niet omstreden,
unknown_1g,H31,Niet omstreden,
unknown_1a,H30,Niet omstreden,blanken
unknown_1b,H30,Niet omstreden,blanken
unknown_1d,H30,Niet omstreden,
unknown_1e,H30,Niet omstreden,blanken
unknown_1f,H30,Niet omstreden,
unknown_1g,H30,Niet omstreden,
unknown_1a,H3,Weet ik niet,
unknown_1b,H3,Niet omstreden,
unknown_1d,H3,Omstreden naar huidige maatstaven,
unknown_1e,H3,Weet ik niet,
unknown_1f,H3,Niet omstreden,
unknown_1g,H3,Omstreden naar huidige maatstaven,
unknown_1a,H29,Omstreden naar huidige maatstaven,neger
unknown_1b,H29,Niet omstreden,"neger, aapman"
unknown_1d,H29,Omstreden naar huidige maatstaven,neger
unknown_1e,H29,Omstreden naar huidige maatstaven,neger
unknown_1f,H29,Niet omstreden,"""neger"""
unknown_1g,H29,Omstreden naar huidige maatstaven,neger
unknown_1a,H28,Omstreden naar huidige maatstaven,Turken 
unknown_1b,H28,Niet omstreden,
unknown_1d,H28,Weet ik niet,
unknown_1e,H28,Omstreden naar huidige maatstaven,
unknown_1f,H28,Niet omstreden,
unknown_1g,H28,Niet omstreden,
unknown_1a,H27,Niet omstreden,
unknown_1b,H27,Niet omstreden,
unknown_1d,H27,Niet omstreden,
unknown_1e,H27,Onleesbare OCR,
unknown_1f,H27,Niet omstreden,
unknown_1g,H27,Onleesbare OCR,
unknown_1a,H26,Onleesbare OCR,
unknown_1b,H26,Niet omstreden,
unknown_1d,H26,Weet ik niet,
unknown_1e,H26,Onleesbare OCR,
unknown_1f,H26,Onleesbare OCR,"Ik denk dat hier niet ""gay"" maar ""gaven"" staat"
unknown_1g,H26,Onleesbare OCR,
unknown_1a,H25,Niet omstreden,negercultuur negeirijk
unknown_1b,H25,Niet omstreden,"negercultuur, negerrijk"
unknown_1d,H25,Niet omstreden,
unknown_1e,H25,Niet omstreden,negerrijk
unknown_1f,H25,Niet omstreden,"""negercultuur"""
unknown_1g,H25,Niet omstreden,negercultuur 
unknown_1a,H24,Niet omstreden,
unknown_1b,H24,Niet omstreden,
unknown_1d,H24,Omstreden naar huidige maatstaven,
unknown_1e,H24,Niet omstreden,
unknown_1f,H24,Niet omstreden,
unknown_1g,H24,Onleesbare OCR,
unknown_1a,H23,Omstreden naar huidige maatstaven,Batavia
unknown_1b,H23,Niet omstreden,
unknown_1d,H23,Weet ik niet,
unknown_1e,H23,Niet omstreden,
unknown_1f,H23,Niet omstreden,
unknown_1g,H23,Niet omstreden,
unknown_1a,H22,Omstreden naar huidige maatstaven,neger
unknown_1b,H22,Omstreden naar huidige maatstaven,neger
unknown_1d,H22,Omstreden naar huidige maatstaven,
unknown_1e,H22,Omstreden naar huidige maatstaven,
unknown_1f,H22,Niet omstreden,"""neger"""
unknown_1g,H22,Weet ik niet,neger
unknown_1a,H21,Omstreden naar huidige maatstaven,Calcutta 
unknown_1b,H21,Niet omstreden,
unknown_1d,H21,Omstreden naar huidige maatstaven,
unknown_1e,H21,Niet omstreden,
unknown_1f,H21,Niet omstreden,
unknown_1g,H21,Weet ik niet,
unknown_1a,H20,Omstreden naar huidige maatstaven,
unknown_1b,H20,Weet ik niet,
unknown_1d,H20,Omstreden naar huidige maatstaven,
unknown_1e,H20,Omstreden naar huidige maatstaven,
unknown_1f,H20,Niet omstreden,
unknown_1g,H20,Omstreden naar huidige maatstaven,
unknown_1a,H2,Omstreden naar huidige maatstaven,Azteken-slaven
unknown_1b,H2,Niet omstreden,slaven
unknown_1d,H2,Omstreden naar huidige maatstaven,
unknown_1e,H2,Omstreden naar huidige maatstaven,
unknown_1f,H2,Omstreden naar huidige maatstaven,
unknown_1g,H2,Omstreden naar huidige maatstaven,
unknown_1a,H19,Niet omstreden,
unknown_1b,H19,Niet omstreden,
unknown_1d,H19,Niet omstreden,
unknown_1e,H19,Niet omstreden,
unknown_1f,H19,Niet omstreden,
unknown_1g,H19,Weet ik niet,
unknown_1a,H18,Omstreden naar huidige maatstaven,
unknown_1b,H18,Weet ik niet,
unknown_1d,H18,Omstreden naar huidige maatstaven,
unknown_1e,H18,Omstreden naar huidige maatstaven,
unknown_1f,H18,Omstreden naar huidige maatstaven,
unknown_1g,H18,Weet ik niet,
unknown_1a,H17,Niet omstreden,
unknown_1b,H17,Niet omstreden,
unknown_1d,H17,Niet omstreden,
unknown_1e,H17,Niet omstreden,
unknown_1f,H17,Niet omstreden,
unknown_1g,H17,Weet ik niet,
unknown_1a,H16,Weet ik niet,
unknown_1b,H16,Niet omstreden,
unknown_1d,H16,Niet omstreden,
unknown_1e,H16,Niet omstreden,
unknown_1f,H16,Niet omstreden,
unknown_1g,H16,Niet omstreden,
unknown_1a,H15,Omstreden naar huidige maatstaven,
unknown_1b,H15,Niet omstreden,
unknown_1d,H15,Omstreden naar huidige maatstaven,
unknown_1e,H15,Onleesbare OCR,
unknown_1f,H15,Weet ik niet,
unknown_1g,H15,Onleesbare OCR,
unknown_3a,H149,Omstreden naar huidige maatstaven,
unknown_3b,H149,Niet omstreden,
unknown_3c,H149,Omstreden naar huidige maatstaven,
unknown_3d,H149,Omstreden naar huidige maatstaven,
unknown_3e,H149,Niet omstreden,
unknown_3f,H149,Weet ik niet,
unknown_3g,H149,Omstreden naar huidige maatstaven,
unknown_3a,H148,Omstreden naar huidige maatstaven,
unknown_3b,H148,Niet omstreden,
unknown_3c,H148,Weet ik niet,
unknown_3d,H148,Weet ik niet,
unknown_3e,H148,Niet omstreden,
unknown_3f,H148,Niet omstreden,
unknown_3g,H148,Omstreden naar huidige maatstaven,
unknown_3a,H147,Niet omstreden,
unknown_3b,H147,Niet omstreden,
unknown_3c,H147,Niet omstreden,
unknown_3d,H147,Niet omstreden,
unknown_3e,H147,Niet omstreden,
unknown_3f,H147,Niet omstreden,
unknown_3g,H147,Niet omstreden,
